ANP,ecstasy,joy,serenity,admiration,trust,acceptance,terror,fear,apprehension,amazement,surprise,distraction,grief,sadness,pensiveness,loathing,disgust,boredom,rage,anger,annoyance,vigilance,anticipation,interest
دور_آخر,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667
خانه_قدیمی,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0410206521183,0.0565250012787,0.0410206521183
روز_جهانی,0.0399929122102,0.0399929122102,0.0399929122102,0.0551088121978,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0487200811371,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102,0.0563199502507,0.0399929122102,0.0399929122102,0.0399929122102,0.0399929122102
شهر_تاریخی,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667
درخت_تنها,0.0398376738031,0.0398376738031,0.0576536231409,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0398376738031,0.0659175531908,0.0398376738031
نوروز_باستانی,0.0412231759062,0.0518669541571,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062,0.0412231759062
رنگ_طلایی,0.040904457111,0.040904457111,0.0591974864475,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111,0.040904457111
حال_خوب,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0512543590429,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764,0.0412498104764
خوش_فکر,0.0389578677917,0.0389578677917,0.0563803559198,0.0389578677917,0.0389578677917,0.0389578677917,0.0497628362459,0.0389578677917,0.0512774272922,0.0389578677917,0.0389578677917,0.0389578677917,0.0389578677917,0.0486973347396,0.0389578677917,0.0389578677917,0.0389578677917,0.0389578677917,0.0389578677917,0.0389578677917,0.0389578677917,0.0389578677917,0.0536825577611,0.0389578677917
کهن_دل,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667,0.0416666666667
