gouden_water,0.250
schoon_water,0.120
historische_gevelreclame,-0.037
jonge_duinen,0.009
ecologische_tuin,-0.035
licht_kind,-0.014
rijdende_auto,0.065
concrete_training,0.269
oude_begraafplaats,0.021
oude_meesters,0.184
koninklijk_museum,0.029
samen_oplopen,0.205
oud_kanaal,0.021
creatieve_economie,0.070
oude_vrouw,0.021
lange_poten,-0.042
zonnige_winterdag,0.125
meer_water,-0.250
heilige_maria,0.062
blijde_verwachting,-0.133
speciaal_transport,0.021
oude_dok,0.021
creatief_ondernemen,0.035
nat_zand,-0.002
gulden_ster,0.249
laatste_klant,-0.034
hele_wereld,-0.094
natuurlijk_licht,-0.053
wild_moment,-0.043
jonge_vrouw,0.009
moderne_schilderijen,0.018
grote_belangstelling,0.233
vrijstaande_woning,-0.043
gewoon_sneeuwklokje,0.199
oude_kat,0.043
plechtige_communie,0.070
droge_voeten,-0.057
lege_glazen,0.070
philharmonisch_orkest,-0.004
oude_zwemdok,0.030
makkelijk_scoren,0.096
lang_spoor,-0.021
oud_doel,0.047
bange_kat,-0.010
vrolijk_kind,0.402
gouden_engel,0.251
grote_tas,0.080
oude_dag,0.021
lange_snavel,-0.050
tropische_vissen,-0.021
middeleeuws_kasteel,-0.003
stenen_molen,0.008
oude_tol,0.021
historische_rijtuigen,0.035
leuke_vrouwen,0.160
mooi_stel,0.477
grote_wagens,0.023
lege_kolentrein,0.094
seksueel_misbruik,0.068
mooi_land,0.238
open_dagen,-0.053
grote_dag,0.055
traditionele_dans,0.062
goed_doel,0.125
oude_paarden,0.021
super_cadeau,0.630
koninklijke_tichelaar,0.029
oude_tijden,-0.008
oud_medewerkers,-0.010
historisch_centrum,0.071
romantische_muziek,0.981
warme_zomer,0.017
gemengde_gevoelens,-0.023
generale_repetitie,0.015
modern_sprookje,-0.027
duurzame_energie,0.289
sexy_carnaval,0.891
jonge_amazone,0.023
oude_bomen,0.021
wilde_staking,-0.094
werkende_mannen,0.008
dolle_baas,0.004
gouden_eeuw,0.123
oude_willem,0.021
rot_licht,-0.250
halve_marathon,-0.024
koud_ijs,-0.216
mooie_glimlach,1.993
oude_kerk,0.021
klein_meisje,-0.111
koninklijke_luchtmacht,0.045
katholieke_kerk,0.098
mooi_gebouw,0.252
moderne_dans,0.018
gouden_munten,-0.004
muzikaal_sprookje,0.037
dik_water,-0.002
wilde_kat,-0.094
bekende_hagenees,0.125
goed_onderhouden,0.987
open_hart,-0.106
interactieve_rondleiding,0.031
historische_trein,0.035
liberale_vakbond,0.057
laatste_jaar,-0.034
historische_gebouwen,0.035
grauwe_ganzen,-0.125
werkende_mensen,0.008
lekker_ijs,0.233
elektrisch_materieel,0.004
lekker_eten,0.455
werkende_klasse,0.071
klein_windhoek,-0.101
grove_iphone,-0.217
magnetisch_veld,0.064
achterstallig_onderhoud,-0.062
zwangere_buik,-0.039
open_monumentendag,-0.053
religieus_erfgoed,-0.020
oude_tram,0.021
